symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-03-02 14:51:00+00:00,262.66,262.9621,262.38,262.39,153682.0,3229.0,262.665477
AAPL,2026-03-02 14:52:00+00:00,262.38,262.72,262.3,262.395,101914.0,3165.0,262.430157
AAPL,2026-03-02 14:53:00+00:00,262.38,262.68,262.23,262.53,88379.0,2497.0,262.46562
AAPL,2026-03-02 14:54:00+00:00,262.5,262.86,262.45,262.71,81081.0,2397.0,262.667063
AAPL,2026-03-02 14:55:00+00:00,262.685,262.86,262.42,262.525,78120.0,2468.0,262.623378
AAPL,2026-03-02 14:56:00+00:00,262.52,262.59,262.33,262.495,91179.0,2720.0,262.457378
AAPL,2026-03-02 14:57:00+00:00,262.495,262.79,262.3,262.71,85766.0,2453.0,262.447909
AAPL,2026-03-02 14:58:00+00:00,262.72,263.26,262.5483,263.13,100667.0,2595.0,262.934623
AAPL,2026-03-02 14:59:00+00:00,263.1794,263.29,263.07,263.15,65653.0,2219.0,263.16406
AAPL,2026-03-02 15:00:00+00:00,263.12,263.4299,262.66,262.78,118716.0,3170.0,263.087291
AAPL,2026-03-02 15:01:00+00:00,262.775,263.66,262.775,263.62,115397.0,3275.0,263.317915
AAPL,2026-03-02 15:02:00+00:00,263.59,263.6197,263.26,263.545,90191.0,2737.0,263.439347
AAPL,2026-03-02 15:03:00+00:00,263.54,263.8799,263.51,263.8799,126086.0,3272.0,263.701574
AAPL,2026-03-02 15:04:00+00:00,263.87,263.97,263.44,263.685,79634.0,2570.0,263.737362
AAPL,2026-03-02 15:05:00+00:00,263.685,263.84,263.56,263.735,64663.0,2378.0,263.693621
AAPL,2026-03-02 15:06:00+00:00,263.7,264.07,263.59,263.98,105133.0,2867.0,263.880572
AAPL,2026-03-02 15:07:00+00:00,263.94,264.03,263.5601,263.74,89492.0,2643.0,263.78234
AAPL,2026-03-02 15:08:00+00:00,263.77,263.99,263.56,263.81,101581.0,3128.0,263.811275
AAPL,2026-03-02 15:09:00+00:00,263.8,263.8,263.49,263.59,105722.0,3107.0,263.657709
AAPL,2026-03-02 15:10:00+00:00,263.59,263.87,263.44,263.6215,62320.0,2202.0,263.642154
AAPL,2026-03-02 15:11:00+00:00,263.6,263.79,263.49,263.595,85903.0,2341.0,263.622252
